utterance_id,speaker_id,duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,mean_rating,std_rating,n_ratings,intent_label
U127,S13,1.686,213.679,22.306,11.782,0.328,14.309,4.212,1.174,8,1
U128,S13,1.675,195.64,20.04,10.671,0.242,15.78,5.918,0.282,10,1
U129,S13,1.775,203.372,26.407,11.597,0.332,14.293,4.392,0.733,8,1
U130,S13,1.412,210.527,16.003,7.85,0.392,13.668,2.149,0.481,12,0
U131,S14,1.513,205.318,25.235,11.812,0.305,14.501,4.018,0.741,12,1
U132,S14,1.607,208.243,23.558,10.229,0.345,13.601,4.054,0.921,11,1
U133,S14,1.531,205.346,23.556,9.038,0.518,14.016,1.918,0.413,14,0
U134,S14,1.762,195.973,14.314,10.136,0.537,14.735,3.029,1.254,13,0
U135,S14,1.728,205.891,20.553,10.631,0.407,14.34,3.967,1.203,11,0
U136,S14,1.405,209.562,19.773,11.832,0.316,14.549,6.427,0.547,13,1
U137,S14,1.658,195.171,18.78,9.741,0.408,13.879,2.59,0.547,9,0
U138,S14,1.629,209.89,26.628,11.914,0.369,14.467,4.513,1.049,14,1
U139,S14,1.547,190.945,18.321,11.986,0.486,12.821,2.051,0.435,15,0
U140,S14,1.29,220.867,15.633,11.558,0.344,16.666,5.621,0.517,11,1
U141,S15,1.772,192.685,19.187,10.599,0.392,12.941,3.196,0.638,10,0
U142,S15,1.773,204.166,19.153,11.831,0.35,14.647,6.203,0.437,13,1
U143,S15,1.799,187.602,18.326,10.522,0.463,12.502,3.106,1.152,8,0
U144,S15,1.684,223.094,21.88,11.435,0.379,16.502,5.717,0.526,15,1
U145,S15,1.448,208.209,24.96,11.642,0.345,13.495,4.311,0.711,13,1
U146,S15,1.539,210.889,22.499,10.048,0.395,15.304,2.719,0.641,11,0
U147,S15,1.751,213.972,24.673,9.317,0.436,12.23,3.08,0.601,10,0
U148,S15,1.417,212.38,15.625,11.436,0.265,14.183,5.094,1.284,15,1
U149,S15,1.545,211.111,21.292,8.808,0.388,12.53,1.912,0.344,11,0
U150,S15,1.583,210.785,16.196,10.347,0.48,13.547,2.478,0.369,11,0
U151,S16,1.565,171.174,19.968,8.813,0.392,14.299,2.134,0.551,12,0
U152,S16,1.787,187.656,20.837,11.068,0.402,14.136,5.141,0.804,8,1
U153,S16,1.631,184.39,24.411,11.902,0.329,15.619,4.738,0.64,10,1
U154,S16,1.751,180.415,19.07,10.253,0.524,12.977,3.07,0.729,10,0
U155,S16,1.721,186.813,23.913,9.447,0.366,13.877,5.827,0.307,9,1
U156,S16,1.541,170.847,18.601,9.944,0.565,13.571,3.404,1.051,15,0
U157,S16,1.64,170.434,20.662,9.05,0.319,14.55,3.408,0.57,8,0
U158,S16,1.926,176.894,15.445,10.224,0.389,13.03,3.716,0.922,13,0
U159,S16,1.578,192.217,21.172,10.935,0.329,14.632,4.776,0.95,8,1
U160,S16,1.862,175.967,13.65,9.429,0.425,12.681,2.363,0.228,15,0
U161,S17,1.585,194.593,9.089,10.615,0.452,12.88,3.015,1.088,15,0
U162,S17,2.019,177.809,19.292,10.718,0.343,12.458,1.779,0.585,12,0
U163,S17,1.645,190.324,24.56,11.036,0.403,15.65,5.934,0.259,10,1
U164,S17,1.444,197.686,21.009,10.003,0.351,14.544,5.321,0.727,12,1
U165,S17,1.491,186.824,24.806,10.696,0.465,13.921,4.568,0.509,8,1
U166,S17,1.586,189.872,21.263,10.191,0.472,14.11,2.916,1.125,13,0
U167,S17,1.627,178.694,25.922,11.696,0.371,15.467,4.617,0.889,9,1
U168,S17,1.718,195.377,22.767,9.691,0.525,14.194,2.528,0.757,12,0
U169,S17,1.682,189.004,13.549,10.839,0.339,12.954,1.085,0.215,8,0
U170,S17,1.536,190.646,18.708,11.649,0.31,14.731,5.502,0.783,13,1
U171,S18,1.515,196.168,23.627,11.521,0.359,13.944,5.068,1.033,10,1
U172,S18,1.765,190.926,19.93,11.688,0.43,14.832,4.592,1.172,12,1
U173,S18,1.726,189.585,19.631,11.233,0.422,15.737,4.889,0.905,11,1
U174,S18,1.548,187.542,21.505,12.568,0.318,13.254,4.179,0.672,9,1
U175,S18,1.555,193.937,23.779,11.496,0.311,14.305,4.451,0.906,13,1
U176,S18,1.598,200.115,15.298,10.3,0.384,16.313,6.367,0.205,12,1
U177,S18,1.762,190.71,16.719,11.821,0.387,12.698,3.425,0.566,13,0
U178,S18,1.654,178.155,20.454,10.694,0.354,12.954,1.762,0.625,14,0
U179,S18,1.641,198.949,11.019,9.536,0.509,13.613,3.584,0.985,10,0
U180,S18,1.841,193.646,23.182,10.942,0.345,15.483,4.334,0.634,9,1
