speaker_id,duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,intent_label
S10,1.697,164.181,14.47,9.271,0.377,13.27,0
S10,1.77,179.823,18.717,9.808,0.441,14.311,0
S10,1.565,184.664,16.358,10.649,0.399,12.275,0
S10,1.646,200.393,16.073,10.269,0.416,12.818,0
S10,1.667,186.006,24.435,11.183,0.334,15.009,1
S10,1.37,191.395,21.173,10.043,0.417,14.873,1
S10,1.616,171.203,29.734,10.758,0.373,15.229,1
S10,1.646,194.208,21.12,10.101,0.363,14.308,1
S11,1.808,191.064,16.194,9.34,0.469,11.544,0
S11,1.793,185.608,11.943,9.907,0.36,11.136,0
S11,1.823,193.341,15.282,10.367,0.366,12.845,0
S11,1.776,195.172,18.959,9.274,0.448,13.768,0
S11,1.614,180.264,22.372,10.211,0.41,15.74,1
S11,1.651,182.526,21.044,9.849,0.394,14.743,1
S11,1.528,193.018,18.969,11.885,0.271,15.698,1
S11,1.649,192.99,25.451,10.359,0.381,13.758,1
S12,1.616,192.077,19.437,8.646,0.508,14.163,0
S12,1.69,182.193,14.301,9.154,0.417,13.111,0
S12,1.602,214.6,22.122,10.185,0.367,12.937,0
S12,1.65,206.265,17.309,10.917,0.46,13.273,0
S12,1.775,204.316,20.306,11.122,0.417,15.466,1
S12,1.629,213.645,23.207,10.226,0.438,15.469,1
S12,1.58,211.345,19.315,10.798,0.427,14.515,1
S12,1.491,202.908,22.111,10.289,0.324,15.218,1
S13,1.607,164.358,18.671,9.954,0.416,13.7,0
S13,1.428,166.097,18.863,9.538,0.425,11.976,0
S13,1.554,174.957,18.061,9.73,0.387,14.432,0
S13,1.417,177.215,24.193,8.347,0.387,14.115,0
S13,1.359,199.405,18.868,11.219,0.299,14.631,1
S13,1.599,177.65,18.972,10.969,0.34,13.942,1
S13,1.593,191.563,17.533,10.458,0.397,14.666,1
S13,1.584,166.501,23.565,11.118,0.306,15.504,1
S14,1.636,180.422,17.982,8.952,0.398,12.278,0
S14,1.82,181.159,17.129,10.556,0.4,12.889,0
S14,1.73,199.213,19.668,9.684,0.341,14.476,0
S14,1.491,182.199,23.849,8.931,0.449,12.624,0
S14,1.616,176.46,21.742,12.023,0.325,14.197,1
S14,1.659,178.754,24.402,12.025,0.388,14.78,1
S14,1.458,197.212,17.621,10.522,0.301,16.363,1
S14,1.822,191.269,27.321,11.594,0.346,15.432,1
S15,1.573,202.476,12.846,8.304,0.362,12.388,0
S15,1.697,187.467,13.572,9.99,0.484,13.91,0
S15,1.743,193.153,21.681,8.872,0.37,11.441,0
S15,1.719,172.931,9.255,8.852,0.366,12.594,0
S15,1.609,194.301,18.601,11.989,0.407,13.775,1
S15,1.69,193.666,22.99,11.566,0.343,13.6,1
S15,1.697,203.993,20.237,11.327,0.286,15.339,1
S15,1.722,181.033,17.278,10.389,0.318,14.634,1
S16,1.685,192.732,19.008,11.248,0.461,12.246,0
S16,1.634,182.35,15.598,10.586,0.34,14.384,0
S16,1.691,203.31,19.669,9.972,0.465,13.034,0
S16,1.722,204.016,15.744,9.142,0.418,13.277,0
S16,1.863,203.874,27.017,11.777,0.272,12.976,1
S16,1.672,205.978,25.752,11.057,0.377,14.99,1
S16,1.542,203.04,21.773,11.999,0.336,15.761,1
S16,1.908,204.89,16.32,10.902,0.326,16.745,1
