wav_path,spec_path,speaker_id,ethnicity,age_group,sex,intent,sentence_id,suffix,duration_sec,f0_mean_hz,f0_std_hz,hnr_mean_db
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n03.npy,1896,south_asian,younger,female,neutral,3,,1.860479167,214.0805194,32.48504033,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n04.npy,1896,south_asian,younger,female,neutral,4,,2.092958333,202.5994069,41.87740567,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n05c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n05c.npy,1896,south_asian,younger,female,neutral,5,c,1.572895833,199.1786595,34.98245547,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_n06c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_n06c.npy,1896,south_asian,younger,female,neutral,6,c,1.369791667,213.4078196,42.94155991,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_t01c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_t01c.npy,1896,south_asian,younger,female,trustworthy,1,c,1.8813125,241.2879169,46.39975018,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_t02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_t02.npy,1896,south_asian,younger,female,trustworthy,2,,1.45175,237.8044203,53.57980356,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_t03c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_t03c.npy,1896,south_asian,younger,female,trustworthy,3,c,1.731416667,236.0724568,51.49190801,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_t04c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_t04c.npy,1896,south_asian,younger,female,trustworthy,4,c,1.732666667,201.1734977,33.90031542,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_t05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_t05.npy,1896,south_asian,younger,female,trustworthy,5,,1.449625,227.0789033,39.82784764,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1896_ayf_t06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1896_ayf_t06.npy,1896,south_asian,younger,female,trustworthy,6,,1.288416667,188.0415422,45.85895918,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_n01c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_n01c.npy,1898,white,younger,male,neutral,1,c,1.475083333,112.1128867,16.24670469,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_n02c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_n02c.npy,1898,white,younger,male,neutral,2,c,1.380625,108.3512987,9.648387805,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_n03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_n03.npy,1898,white,younger,male,neutral,3,,1.519,113.5332915,14.09929957,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_n04c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_n04c.npy,1898,white,younger,male,neutral,4,c,1.075083333,107.5436431,15.30491801,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_n05c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_n05c.npy,1898,white,younger,male,neutral,5,c,1.2206875,109.5040966,11.77507598,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_n06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_n06.npy,1898,white,younger,male,neutral,6,,1.242041667,109.2866474,12.72067066,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_t01c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_t01c.npy,1898,white,younger,male,trustworthy,1,c,1.201375,165.3422956,35.63408236,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_t02c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_t02c.npy,1898,white,younger,male,trustworthy,2,c,1.264125,130.8151436,28.7982707,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_t03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_t03.npy,1898,white,younger,male,trustworthy,3,,1.5445,156.4495502,42.90636515,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_t04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_t04.npy,1898,white,younger,male,trustworthy,4,,1.001125,145.3739218,65.95104332,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_t05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_t05.npy,1898,white,younger,male,trustworthy,5,,1.1305625,201.0054396,64.97673276,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1898_wym_t06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1898_wym_t06.npy,1898,white,younger,male,trustworthy,6,,1.117041667,157.2609821,74.46679179,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_n01.npy,1899,south_asian,younger,male,neutral,1,,1.342291667,123.9944688,13.37997135,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_n02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_n02.npy,1899,south_asian,younger,male,neutral,2,,1.471354167,126.4184975,9.094092222,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_n03c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_n03c.npy,1899,south_asian,younger,male,neutral,3,c,1.767354167,123.9387436,10.7351392,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_n04c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_n04c.npy,1899,south_asian,younger,male,neutral,4,c,1.2141875,131.5252146,15.54517817,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_n05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_n05.npy,1899,south_asian,younger,male,neutral,5,,1.216041667,138.7153193,13.92503258,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_n06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_n06.npy,1899,south_asian,younger,male,neutral,6,,1.1811875,125.7254664,11.92820837,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_t01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_t01.npy,1899,south_asian,younger,male,trustworthy,1,,1.780916667,133.2077188,18.06558216,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_t02c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_t02c.npy,1899,south_asian,younger,male,trustworthy,2,c,1.356041667,144.2144569,18.06263018,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_t03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_t03.npy,1899,south_asian,younger,male,trustworthy,3,,1.654604167,132.1120174,17.072718,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_t04c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_t04c.npy,1899,south_asian,younger,male,trustworthy,4,c,1.259854167,146.0264287,18.20033426,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_t05c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_t05c.npy,1899,south_asian,younger,male,trustworthy,5,c,1.259645833,184.5616899,34.08773426,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1899_aym_t06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1899_aym_t06.npy,1899,south_asian,younger,male,trustworthy,6,,1.164020833,162.1918813,26.47662389,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_n01c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_n01c.npy,1901,black,older,female,neutral,1,c,2.348229167,195.1233418,63.20050534,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_n02c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_n02c.npy,1901,black,older,female,neutral,2,c,2.537916667,189.3009982,29.4254062,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_n03c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_n03c.npy,1901,black,older,female,neutral,3,c,2.951479167,187.9028682,29.55268596,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_n04c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_n04c.npy,1901,black,older,female,neutral,4,c,2.493479167,186.0399048,28.53751046,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_n05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_n05.npy,1901,black,older,female,neutral,5,,2.271041667,181.7897474,37.28557907,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_n06c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_n06c.npy,1901,black,older,female,neutral,6,c,1.9569375,186.1394987,23.12838218,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_t01c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_t01c.npy,1901,black,older,female,trustworthy,1,c,2.188416667,192.8910828,48.3763652,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_t02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_t02.npy,1901,black,older,female,trustworthy,2,,2.25,233.7933429,70.82299812,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_t03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_t03.npy,1901,black,older,female,trustworthy,3,,3.013479167,260.4090975,46.22766649,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_t04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_t04.npy,1901,black,older,female,trustworthy,4,,1.933083333,210.5278051,47.94184825,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_t05c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_t05c.npy,1901,black,older,female,trustworthy,5,c,2.60025,216.695004,74.45203682,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1901_bof_t06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1901_bof_t06.npy,1901,black,older,female,trustworthy,6,,1.8751875,219.5150191,39.73287931,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_n01.npy,1904,black,younger,male,neutral,1,,1.866916667,106.5822371,27.75540229,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_n02c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_n02c.npy,1904,black,younger,male,neutral,2,c,1.850020833,102.3364815,20.24040465,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_n03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_n03.npy,1904,black,younger,male,neutral,3,,2.140854167,111.9094031,62.4205304,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_n04c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_n04c.npy,1904,black,younger,male,neutral,4,c,1.540104167,99.90746348,10.46199953,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_n05c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_n05c.npy,1904,black,younger,male,neutral,5,c,1.544979167,100.9028623,5.789830942,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_n06c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_n06c.npy,1904,black,younger,male,neutral,6,c,1.566104167,97.99350038,5.114129994,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_t01c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_t01c.npy,1904,black,younger,male,trustworthy,1,c,1.301895833,103.4041713,12.21745165,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_t02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_t02.npy,1904,black,younger,male,trustworthy,2,,1.317229167,113.2403562,13.57945249,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_t03c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_t03c.npy,1904,black,younger,male,trustworthy,3,c,1.3583125,110.9895982,6.876776609,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_t04c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_t04c.npy,1904,black,younger,male,trustworthy,4,c,1.0773125,113.1518848,13.52278852,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_t05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_t05.npy,1904,black,younger,male,trustworthy,5,,1.1625625,132.5549713,19.39575011,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1904_bym_t06c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1904_bym_t06c.npy,1904,black,younger,male,trustworthy,6,c,1.106458333,115.0888219,36.48449551,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_n01.npy,1906,black,younger,female,neutral,1,,1.5500625,191.9708022,63.78421788,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_n02c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_n02c.npy,1906,black,younger,female,neutral,2,c,1.495104167,179.0721896,34.35098217,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_n03c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_n03c.npy,1906,black,younger,female,neutral,3,c,1.708708333,166.7304027,39.58346116,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_n04c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_n04c.npy,1906,black,younger,female,neutral,4,c,1.2928125,185.0822721,25.78890069,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_n05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_n05.npy,1906,black,younger,female,neutral,5,,1.4851875,189.6729009,26.29514766,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_n06c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_n06c.npy,1906,black,younger,female,neutral,6,c,1.32975,152.7911951,28.29735261,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_t01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_t01.npy,1906,black,younger,female,trustworthy,1,,1.6323125,218.3971214,74.03022483,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_t02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_t02.npy,1906,black,younger,female,trustworthy,2,,1.445895833,190.4136425,43.7517928,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_t03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_t03.npy,1906,black,younger,female,trustworthy,3,,1.755979167,188.5480252,59.62865684,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_t04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_t04.npy,1906,black,younger,female,trustworthy,4,,1.304791667,202.1478744,54.74463771,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_t05.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_t05.npy,1906,black,younger,female,trustworthy,5,,1.562604167,192.3234279,42.78704903,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1906_byf_t06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1906_byf_t06.npy,1906,black,younger,female,trustworthy,6,,1.271916667,200.4318749,51.59535315,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1909_wom_n01.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1909_wom_n01.npy,1909,white,older,male,neutral,1,,1.4306875,103.4017195,9.942964635,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1909_wom_n02c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1909_wom_n02c.npy,1909,white,older,male,neutral,2,c,1.325958333,98.24635128,4.122027635,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1909_wom_n03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1909_wom_n03.npy,1909,white,older,male,neutral,3,,1.2508125,102.0636845,7.097319861,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1909_wom_n04.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1909_wom_n04.npy,1909,white,older,male,neutral,4,,1.3009375,103.2799168,7.187849477,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1909_wom_n05c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1909_wom_n05c.npy,1909,white,older,male,neutral,5,c,1.25625,143.1550142,111.913757,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1909_wom_n06.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1909_wom_n06.npy,1909,white,older,male,neutral,6,,1.233270833,129.3408404,92.94680436,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1909_wom_t01c.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1909_wom_t01c.npy,1909,white,older,male,trustworthy,1,c,1.193875,129.7448137,93.39582749,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1909_wom_t02.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1909_wom_t02.npy,1909,white,older,male,trustworthy,2,,1.480791667,119.6106409,65.3761628,
C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/wav\1909_wom_t03.wav,C:\MyProjects\Project-Proposal\PrivateCoach\Project-EchoesofEquity\data/melspec\1909_wom_t03.npy,1909,white,older,male,trustworthy,3,,1.534270833,149.8946366,79.13868532,
