duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,intent_label
1.771,192.666,22.184,10.209,0.522,12.231,0
1.76,174.785,13.023,9.344,0.408,13.158,0
1.677,169.344,14.399,11.126,0.411,13.587,0
1.561,188.39,22.841,11.907,0.384,16.028,1
1.456,198.532,34.867,12.232,0.369,14.79,1
1.342,189.553,18.352,9.691,0.357,15.244,1
1.493,216.683,18.37,10.098,0.309,16.724,1
1.552,173.32,14.209,8.122,0.507,12.757,0
1.637,178.22,22.475,12.6,0.321,16.137,1
1.659,173.68,12.912,7.889,0.38,14.604,0
1.702,165.428,16.472,8.567,0.485,13.893,0
1.516,186.821,19.636,10.891,0.354,13.08,1
1.786,178.945,23.117,9.561,0.429,13.056,0
1.659,182.115,23.534,10.857,0.388,13.05,0
1.797,193.949,15.33,9.886,0.446,12.144,0
1.608,172.542,17.451,9.063,0.472,13.13,0
1.618,204.461,12.906,9.284,0.394,14.83,0
1.561,193.689,17.67,10.524,0.366,13.907,0
1.621,194.017,17.265,10.308,0.322,14.816,1
1.685,163.921,19.763,9.596,0.45,13.168,0
1.435,174.442,15.141,9.468,0.45,12.68,0
1.695,171.521,19.93,9.375,0.39,14.429,0
1.653,203.396,20.644,10.624,0.325,15.918,1
1.682,197.299,23.349,11.634,0.25,16.126,1
1.854,168.736,21.56,10.547,0.491,13.386,0
1.741,164.55,10.819,10.229,0.374,13.287,0
1.948,158.409,17.703,9.516,0.374,14.143,0
1.56,214.654,27.022,10.893,0.32,15.134,1
1.755,187.56,10.406,9.62,0.34,12.249,0
1.721,187.784,12.674,9.916,0.473,12.843,0
1.726,212.423,27.678,10.127,0.344,16.524,1
1.902,175.89,20.344,9.782,0.385,10.583,0
1.63,185.544,17.177,11.385,0.356,13.227,1
1.654,198.519,22.797,10.666,0.432,15.16,1
1.519,190.941,23.099,8.898,0.505,12.57,0
1.757,170.419,23.55,8.731,0.416,13.393,0
1.67,186.664,26.684,12.258,0.35,15.389,1
1.575,167.446,12.528,9.006,0.362,13.414,0
1.514,193.927,19.499,10.681,0.438,13.563,1
1.563,187.214,20.688,11.203,0.519,14.062,1
1.594,188.203,18.443,11.421,0.3,13.766,1
1.638,184.649,19.167,9.09,0.44,12.633,0
1.632,185.515,23.341,11.428,0.24,16.341,1
1.663,187.864,27.861,10.681,0.409,14.756,1
1.716,158.527,12.746,9.296,0.414,14.56,0
1.734,179.85,24.61,9.609,0.229,13.797,1
1.584,192.809,19.415,9.072,0.376,13.38,0
1.44,183.685,23.229,11.34,0.385,15.951,1
1.641,182.684,21.006,10.446,0.377,13.447,1
1.628,193.378,20.685,9.412,0.358,15.543,1
1.307,181.254,27.989,9.744,0.286,16.439,1
1.765,206.228,18.825,9.28,0.486,12.338,0
2.006,171.836,12.836,10.465,0.407,13.908,0
1.633,168.06,17.993,10.357,0.468,10.869,0
1.868,168.359,7.656,10.46,0.385,13.624,0
1.517,176.454,19.871,9.412,0.456,13.819,0
1.815,199.556,19.613,10.28,0.29,14.862,1
1.615,187.45,26.802,11.042,0.239,14.636,1
1.694,185.773,12.989,10.151,0.394,14.153,0
1.637,162.936,17.936,9.767,0.492,11.882,0
1.563,186.705,17.377,9.147,0.378,13.092,0
1.802,181.477,16.494,8.82,0.451,13.917,0
1.536,207.867,33.882,9.671,0.36,14.509,1
1.688,176.865,21.16,10.556,0.355,17.201,1
1.607,177.823,23.542,11.102,0.298,16.284,1
1.747,176.945,14.333,9.155,0.427,12.533,0
1.775,193.366,21.083,10.679,0.368,15.124,1
1.778,163.63,16.66,8.987,0.476,11.721,0
1.846,193.222,18.827,11.02,0.404,14.051,0
1.604,154.179,17.774,9.154,0.372,13.993,0
1.495,196.484,14.987,10.461,0.375,16.499,1
1.575,171.152,18.72,9.172,0.407,13.797,0
1.767,159.742,19.44,9.79,0.425,13.685,0
1.85,182.563,23.449,10.182,0.378,12.932,0
1.673,165.23,15.951,10.617,0.483,11.955,0
1.604,191.402,20.655,10.542,0.296,15.184,1
1.612,173.787,16.148,9.171,0.46,13.532,0
1.712,162.608,16.396,11.85,0.424,12.518,0
1.75,169.057,14.844,8.72,0.48,13.503,0
1.526,191.305,21.576,11.274,0.415,13.511,0
1.792,189.623,17.192,9.543,0.495,14.399,0
1.609,181.099,19.41,9.839,0.318,12.66,0
1.551,188.791,19.527,10.364,0.256,15.137,1
1.616,174.921,21.299,10.827,0.375,13.884,0
1.592,197.073,19.192,11.001,0.178,13.817,1
1.606,164.637,19.401,12.116,0.331,14.769,1
1.686,194.573,21.082,10.004,0.398,15.501,1
1.519,169.067,16.953,10.751,0.395,11.693,0
1.365,176.397,23.812,10.316,0.457,11.035,0
1.662,170.046,16.383,8.587,0.444,12.039,0
1.506,180.6,13.108,8.424,0.418,13.997,0
1.686,145.534,24.472,10.148,0.526,12.348,0
1.71,191.571,19.305,11.722,0.314,15.095,1
1.773,170.085,16.494,10.102,0.359,14.175,0
1.554,169.604,14.169,10.136,0.369,11.2,0
1.656,185.277,18.811,11.126,0.458,12.438,0
1.389,195.769,18.656,12.48,0.354,15.821,1
1.817,168.916,17.156,9.665,0.4,12.524,0
1.777,186.501,15.4,8.148,0.428,11.72,0
1.819,181.67,17.966,9.711,0.408,13.049,0
1.54,200.209,24.787,10.181,0.308,15.142,1
1.712,175.655,12.899,9.155,0.378,14.007,0
1.789,182.095,15.213,9.288,0.5,13.824,0
1.732,175.223,24.485,11.296,0.41,15.756,1
1.669,203.668,20.038,11.776,0.38,14.424,1
1.744,190.451,20.699,12.084,0.338,16.417,1
1.564,195.14,20.803,9.358,0.442,11.787,0
1.773,165.814,13.705,9.204,0.375,12.785,0
1.575,194.18,26.855,12.152,0.338,14.628,1
1.692,154.987,20.011,8.675,0.316,12.802,0
1.594,207.205,18.508,9.028,0.332,15.245,1
1.644,194.066,22.074,12.065,0.411,15.67,1
1.625,203.69,20.845,11.297,0.497,15.116,1
1.28,186.774,22.178,11.483,0.31,15.871,1
1.595,206.558,26.03,11.107,0.283,14.499,1
1.423,191.057,21.232,10.908,0.373,15.948,1
1.835,185.641,19.31,10.766,0.378,14.659,0
1.67,213.167,20.164,10.613,0.378,13.491,1
1.782,182.557,28.724,11.925,0.247,16.47,1
1.539,186.347,23.399,11.672,0.387,15.499,1
1.614,165.585,24.497,10.56,0.326,14.225,1
1.518,217.91,23.961,9.145,0.316,14.931,1
1.674,156.68,21.717,8.078,0.425,12.456,0
1.936,172.875,22.225,10.875,0.278,13.649,0
1.403,185.807,20.103,10.98,0.422,14.105,0
1.495,189.564,25.783,11.506,0.418,15.726,1
1.586,174.884,15.566,9.133,0.409,12.566,0
1.738,185.48,15.962,9.591,0.412,12.853,0
1.58,200.149,27.068,12.498,0.415,15.33,1
1.631,161.69,15.171,10.569,0.436,12.624,0
1.692,189.698,15.638,9.999,0.393,12.522,0
1.89,183.098,22.658,8.178,0.376,13.578,0
1.445,195.786,23.59,10.697,0.436,16.107,1
1.632,185.213,24.364,9.032,0.403,15.045,0
1.51,189.14,23.236,10.653,0.359,15.287,1
1.666,199.741,12.793,10.408,0.418,14.15,0
1.636,173.554,11.432,9.251,0.462,12.866,0
1.412,195.269,27.278,10.892,0.421,14.757,1
1.503,211.213,18.578,9.413,0.394,15.184,1
1.688,175.418,18.854,10.236,0.468,13.435,0
1.606,173.062,18.521,9.108,0.411,15.794,1
1.475,197.029,20.313,11.193,0.431,17.128,1
1.562,145.968,25.705,9.765,0.38,13.694,0
1.543,184.42,19.086,8.622,0.317,15.932,1
1.62,192.899,28.952,10.925,0.408,15.206,1
1.804,164.297,13.357,10.887,0.408,13.802,0
1.64,197.973,22.883,10.283,0.428,15.668,1
1.66,193.728,14.307,7.905,0.369,13.089,0
1.64,189.322,20.729,11.062,0.444,14.385,1
1.392,190.146,20.332,9.829,0.447,17.056,1
1.792,202.639,25.799,10.306,0.292,13.447,1
1.605,201.053,17.066,11.954,0.364,13.222,1
1.658,196.999,26.593,10.623,0.355,15.085,1
1.681,198.074,7.584,8.342,0.341,14.392,0
