utterance_id,speaker_id,duration_seconds,mean_f0_hz,sd_f0_hz,hnr_db,shimmer_db,cpp_db,mean_rating,std_rating,n_ratings,intent_label
U117,S10,1.646,207.493,25.231,11.304,0.244,14.249,4.355,0.686,10,1
U118,S10,1.689,196.275,21.391,8.962,0.373,12.658,2.896,0.46,13,0
U119,S10,1.528,206.367,19.767,10.829,0.325,13.96,4.923,0.924,14,1
U120,S10,1.628,214.14,25.556,12.208,0.381,15.269,4.761,1.032,10,1
U121,S11,1.723,184.968,18.39,10.786,0.257,14.788,4.321,0.944,15,1
U122,S11,1.54,180.658,15.286,9.784,0.532,14.585,3.431,0.467,15,0
U123,S11,1.562,194.934,27.683,12.639,0.314,15.727,4.317,0.604,14,1
U124,S11,1.506,179.611,23.804,11.692,0.325,14.277,5.478,0.532,12,1
U125,S11,1.635,194.496,18.669,10.516,0.377,15.519,4.408,0.577,17,1
U126,S11,1.594,198.379,24.328,12.193,0.374,15.312,4.962,0.777,14,1
U127,S11,1.598,177.775,25.243,11.521,0.271,15.953,5.124,0.51,10,1
U128,S11,1.767,175.886,20.477,10.206,0.529,13.401,2.355,0.302,15,0
U129,S11,1.709,175.117,23.41,11.861,0.352,15.35,6.234,0.313,16,1
U130,S11,1.58,181.833,19.197,10.427,0.369,15.148,5.518,0.333,10,1
U131,S11,1.747,181.091,20.841,10.275,0.43,12.759,2.031,0.358,13,0
U132,S11,1.853,171.373,18.675,10.58,0.396,12.242,2.144,0.663,12,0
U133,S12,1.633,194.96,21.038,10.353,0.41,14.46,4.705,0.466,10,1
U134,S12,1.754,183.897,14.421,10.021,0.48,12.514,3.694,0.946,17,0
U135,S12,1.432,196.135,21.604,11.418,0.374,13.953,5.723,0.429,10,1
U136,S12,1.512,183.045,21.422,11.816,0.377,15.773,5.1,0.698,13,1
U137,S12,1.38,188.703,17.346,12.929,0.329,14.482,5.322,0.348,10,1
U138,S12,1.644,181.708,23.66,10.544,0.373,16.7,5.194,0.365,17,1
U139,S12,1.525,193.907,28.195,12.111,0.351,15.322,4.63,0.815,17,1
U140,S12,1.484,196.153,19.939,10.865,0.316,15.698,4.352,0.72,17,1
U141,S12,1.759,188.778,24.4,11.967,0.412,14.32,5.077,0.497,16,1
U142,S12,1.579,162.325,18.916,9.972,0.314,12.355,3.296,0.756,11,0
U143,S12,1.73,180.476,25.73,10.664,0.435,14.291,2.691,0.332,12,0
U144,S12,1.536,180.721,21.662,11.956,0.347,14.974,5.253,0.53,14,1
U145,S13,1.764,191.539,18.849,10.599,0.505,16.902,5.834,0.227,12,1
U146,S13,1.619,196.89,26.029,10.273,0.336,14.502,4.382,0.744,11,1
U147,S13,1.767,191.98,17.46,9.77,0.447,12.862,2.437,0.308,15,0
U148,S13,1.758,190.741,9.09,10.252,0.454,14.14,2.508,0.433,17,0
U149,S13,1.418,215.54,21.623,10.807,0.358,14.716,5.065,0.406,14,1
U150,S13,1.538,208.328,20.039,10.327,0.292,14.58,5.019,0.542,16,1
U151,S13,1.765,196.428,20.286,9.538,0.4,12.897,3.988,0.523,15,0
U152,S13,1.629,195.756,19.506,9.096,0.441,14.363,2.041,0.43,13,0
U153,S13,1.683,175.498,15.446,8.346,0.392,14.432,3.117,0.998,13,0
U154,S13,1.524,196.23,21.967,10.727,0.459,14.919,5.028,0.467,16,1
U155,S13,1.469,190.366,16.119,9.592,0.418,15.537,4.57,0.514,10,1
U156,S13,1.531,201.931,19.364,9.527,0.383,15.242,5.568,0.314,16,1
U157,S14,1.517,195.537,19.934,9.767,0.385,14.287,5.007,0.66,10,1
U158,S14,1.554,191.05,16.153,10.637,0.314,16.004,4.953,0.594,13,1
U159,S14,1.62,191.871,26.213,10.563,0.416,14.029,4.37,0.88,12,1
U160,S14,1.776,191.908,15.45,8.835,0.482,14.511,1.902,0.445,11,0
U161,S14,1.738,190.923,17.194,10.152,0.36,14.004,3.161,0.678,17,0
U162,S14,1.713,197.625,15.012,9.726,0.341,13.957,3.329,0.546,17,0
U163,S14,1.629,202.058,25.599,11.744,0.404,14.45,4.566,0.768,12,1
U164,S14,1.7,195.897,21.436,10.925,0.367,15.011,6.248,0.625,14,1
U165,S14,1.744,190.72,19.028,12.055,0.315,15.674,6.128,0.662,11,1
U166,S14,1.674,189.305,19.19,9.069,0.382,12.581,3.44,1.004,11,0
U167,S14,1.626,202.636,21.016,8.777,0.446,12.587,2.485,0.648,10,0
U168,S14,1.675,195.786,22.894,10.369,0.334,13.813,5.232,0.643,13,1
U169,S15,1.587,222.802,18.247,11.438,0.414,14.047,5.471,0.289,10,1
U170,S15,1.55,210.969,19.241,11.204,0.415,13.731,4.875,0.886,10,1
U171,S15,1.758,188.405,18.122,10.098,0.368,13.523,2.845,0.219,14,0
U172,S15,1.804,202.846,13.463,9.432,0.435,12.775,2.998,0.354,14,0
U173,S15,1.658,202.012,16.939,10.581,0.46,13.608,3.147,0.428,17,0
U174,S15,1.666,207.513,23.11,9.818,0.365,14.778,4.393,0.973,13,1
U175,S15,1.536,204.67,22.124,10.783,0.413,15.177,6.216,0.523,15,1
U176,S15,1.912,201.426,15.461,10.475,0.38,12.545,2.108,0.644,11,0
U177,S15,1.446,195.033,24.132,10.041,0.427,14.223,3.455,0.915,16,0
U178,S15,1.634,206.306,21.791,10.226,0.363,15.289,4.029,1.066,13,1
U179,S15,1.646,203.895,22.249,11.749,0.435,14.834,5.143,0.694,16,1
U180,S15,1.573,181.301,18.922,10.63,0.395,12.277,3.377,0.457,17,0
U181,S16,1.631,180.631,17.461,10.486,0.399,12.351,3.079,0.811,11,0
U182,S16,1.716,170.315,17.285,9.708,0.422,13.725,2.223,0.431,12,0
U183,S16,1.627,181.086,22.494,12.463,0.449,14.979,4.371,0.845,17,1
U184,S16,1.875,172.453,19.831,9.61,0.492,12.318,2.333,0.565,17,0
U185,S16,1.828,175.605,12.883,10.55,0.429,13.263,3.726,0.745,17,0
U186,S16,1.837,186.012,15.908,10.916,0.389,14.531,1.523,0.426,11,0
U187,S16,1.726,187.202,18.665,9.065,0.383,13.432,2.816,0.557,14,0
U188,S16,1.514,182.681,10.783,13.224,0.366,14.142,5.904,0.61,10,1
U189,S16,1.544,181.779,25.224,12.173,0.305,15.472,5.845,0.564,15,1
U190,S16,1.531,175.545,20.084,11.553,0.379,16.03,5.242,0.683,10,1
U191,S16,1.652,181.963,19.764,11.851,0.378,16.595,5.338,0.422,15,1
U192,S16,1.531,201.048,17.432,11.917,0.327,15.281,4.272,0.771,12,1
U193,S17,1.678,190.558,23.877,9.927,0.431,15.223,6.39,0.557,15,1
U194,S17,2.068,174.392,23.509,9.429,0.436,12.084,2.757,0.678,17,0
U195,S17,1.566,186.631,17.511,10.304,0.44,16.188,5.728,0.673,17,1
U196,S17,1.742,177.222,24.557,10.453,0.339,15.196,4.768,0.75,12,1
U197,S17,1.674,195.672,21.853,10.36,0.434,16.892,5.167,0.369,13,1
U198,S17,1.576,195.294,17.951,9.807,0.373,16.249,4.467,0.85,12,1
U199,S17,1.806,198.272,26.809,10.153,0.381,16.67,4.416,0.743,14,1
U200,S17,1.755,178.24,20.735,8.623,0.358,12.306,3.845,0.557,13,0
U201,S17,1.65,194.343,17.578,9.149,0.426,12.37,3.234,0.923,10,0
U202,S17,1.588,204.187,20.651,9.768,0.49,15.476,5.133,0.646,15,1
U203,S17,1.611,196.865,23.969,10.309,0.375,15.886,4.332,0.541,15,1
U204,S17,1.653,187.298,19.41,9.693,0.429,13.681,3.281,1.056,12,0
U205,S18,1.843,189.92,20.905,9.294,0.436,13.963,3.962,0.804,14,0
U206,S18,1.905,190.401,16.097,9.627,0.45,12.003,3.23,0.722,16,0
U207,S18,1.647,187.951,20.945,9.341,0.387,12.174,3.406,0.948,12,0
U208,S18,1.692,195.175,21.665,9.623,0.348,14.861,4.305,0.782,11,1
U209,S18,1.726,203.245,20.035,9.45,0.444,15.183,6.292,0.625,17,1
U210,S18,1.663,206.239,20.326,11.237,0.4,15.984,4.675,0.677,15,1
U211,S18,1.531,197.847,23.132,11.003,0.375,14.651,6.058,0.639,14,1
U212,S18,1.775,192.231,22.608,11.259,0.426,13.668,3.026,0.695,14,0
U213,S18,1.674,178.306,17.067,9.687,0.432,14.136,3.484,1.057,10,0
U214,S18,1.763,183.817,20.13,11.354,0.482,14.519,2.897,0.56,16,0
U215,S18,1.415,206.339,25.755,11.634,0.311,14.078,6.859,0.414,16,1
U216,S18,1.832,190.54,13.278,9.212,0.419,12.973,1.95,0.383,15,0
U217,S19,1.661,207.436,24.171,11.817,0.418,16.649,6.259,0.206,17,1
U218,S19,1.558,209.767,21.403,11.156,0.399,15.784,4.769,0.815,17,1
U219,S19,1.64,201.064,18.901,10.335,0.347,16.204,5.173,0.267,15,1
U220,S19,1.649,200.028,24.329,9.931,0.354,15.149,6.471,0.314,10,1
U221,S19,1.661,208.925,19.487,11.922,0.423,14.379,4.352,0.674,10,1
U222,S19,1.612,200.796,12.823,10.336,0.471,14.608,2.357,0.317,16,0
U223,S19,1.728,193.972,19.066,10.734,0.35,15.123,4.312,0.908,14,1
U224,S19,1.497,202.899,21.764,11.393,0.369,15.911,5.192,0.664,11,1
U225,S19,1.669,195.782,16.813,9.672,0.488,12.856,3.889,0.522,14,0
U226,S19,1.641,202.748,22.24,12.113,0.382,15.148,4.672,0.894,11,1
U227,S19,1.646,183.492,18.017,10.42,0.519,11.871,3.784,1.043,14,0
U228,S19,1.697,189.132,17.174,8.543,0.514,12.034,1.692,0.203,15,0
U229,S20,1.658,220.079,13.716,10.655,0.39,15.649,5.301,0.593,15,1
U230,S20,1.728,200.755,20.489,10.418,0.339,14.722,4.946,0.822,11,1
U231,S20,1.621,197.802,18.579,11.001,0.393,14.118,4.212,0.824,17,1
U232,S20,1.61,206.372,17.507,10.725,0.388,13.0,3.68,0.608,14,0
U233,S20,1.605,185.392,26.17,10.2,0.366,12.747,3.884,1.084,10,0
U234,S20,1.528,219.759,19.767,10.796,0.379,15.34,6.145,0.347,10,1
U235,S20,1.547,199.075,15.141,9.766,0.415,13.795,2.865,0.632,16,0
U236,S20,1.659,189.957,17.086,10.823,0.483,11.386,1.331,0.406,12,0
U237,S20,1.595,211.2,18.059,11.195,0.284,13.227,4.212,0.508,14,1
U238,S20,1.587,212.398,12.861,9.35,0.476,12.744,3.488,0.587,11,0
U239,S20,1.944,204.531,19.19,9.234,0.435,13.79,2.655,0.354,15,0
U240,S20,1.582,207.056,24.917,10.807,0.423,14.518,6.214,0.281,14,1
